index,Date,Price,Open,High,Low,Volume,Chg%,NIFTY
136,08-Jul-20,74.94,74.835,75.084,74.825,5.11K,0.17%,10901.70
137,09-Jul-20,75.14,74.935,75.166,74.902,6.15K,0.27%,11022.20
138,10-Jul-20,75.19,75.165,75.34,75.141,4.64K,0.07%,11162.25
139,13-Jul-20,75.187,75.195,75.237,75.082,5.96K,0.00%,11132.60
140,14-Jul-20,75.378,75.275,75.535,75.268,6.85K,0.25%,11215.45
141,15-Jul-20,75.12,75.325,75.38,75.05,7.09K,-0.34%,11194.15
142,16-Jul-20,75.17,75.115,75.295,75.107,5.25K,0.07%,11131.80
143,17-Jul-20,74.884,75.2,75.255,74.897,5.94K,-0.38%,11300.55
144,20-Jul-20,74.74,74.898,75.033,74.735,5.89K,-0.19%,11202.85
145,21-Jul-20,74.53,74.725,74.875,74.516,6.01K,-0.28%,11102.15
146,22-Jul-20,74.6,74.543,74.872,74.509,4.20K,0.09%,11073.45
147,23-Jul-20,74.81,74.625,74.961,74.6,5.88K,0.28%,10891.60
148,24-Jul-20,74.75,74.908,74.985,74.697,6.19K,-0.08%,11095.25
149,27-Jul-20,74.79,74.76,74.902,74.665,4.72K,0.05%,11101.65
150,28-Jul-20,74.907,74.785,74.943,74.707,6.41K,0.16%,11200.15
151,29-Jul-20,74.923,74.87,74.949,74.676,6.58K,0.02%,11214.05
152,30-Jul-20,74.875,74.83,74.967,74.795,5.59K,-0.06%,11270.15
153,31-Jul-20,74.916,74.75,74.939,74.685,5.49K,0.05%,11322.50
154,03-Aug-20,75.18,74.918,75.314,74.863,4.96K,0.35%,11308.40
155,04-Aug-20,75.06,75.165,75.214,74.962,3.64K,-0.16%,11300.45
156,05-Aug-20,74.796,74.982,75.03,74.763,6.17K,-0.35%,11178.40
157,06-Aug-20,74.89,74.875,75.017,74.777,5.71K,0.13%,11247.10
158,07-Aug-20,75.012,75.073,75.112,74.891,5.55K,0.16%,11385.35
159,10-Aug-20,74.87,75.025,75.025,74.857,1.03K,-0.19%,11408.40
160,11-Aug-20,74.61,74.855,74.887,74.522,3.19K,-0.35%,11312.20
161,12-Aug-20,74.79,74.615,74.935,74.615,3.34K,0.24%,11371.60
162,13-Aug-20,74.811,74.775,74.933,74.769,2.87K,0.03%,11466.45
163,14-Aug-20,74.874,74.89,74.978,74.734,3.21K,0.08%,11472.25
164,17-Aug-20,74.743,74.903,74.921,74.715,3.09K,-0.17%,11549.60
165,18-Aug-20,74.57,74.74,74.886,74.575,3.22K,-0.23%,11559.25
166,19-Aug-20,74.846,74.655,74.935,74.628,3.52K,0.37%,11647.60
167,20-Aug-20,75.012,74.973,75.132,74.935,3.70K,0.22%,11387.50
168,21-Aug-20,74.92,74.98,75.005,74.82,3.16K,-0.12%,11470.25
169,24-Aug-20,74.168,74.922,74.922,73.962,4.90K,-1.00%,11535.00
170,25-Aug-20,74.202,74.1,74.517,74.07,6.79K,0.05%,11527.45
171,26-Aug-20,74.217,74.225,74.459,74.193,6.88K,0.02%,11333.85
172,27-Aug-20,73.894,74.29,74.37,73.782,4.04K,-0.44%,11355.05
173,28-Aug-20,73.114,73.827,73.878,73.116,6.66K,-1.06%,11317.35
174,31-Aug-20,73.254,73.115,73.702,73.05,4.53K,0.19%,11278.00
175,01-Sep-20,73.002,73.215,73.225,72.753,6.38K,-0.34%,11449.25
176,02-Sep-20,73.268,73.143,73.32,72.893,7.79K,0.36%,11464.45
177,03-Sep-20,73.389,73.225,73.57,73.151,6.89K,0.17%,11440.05
178,04-Sep-20,73.289,73.48,73.505,73.006,7.23K,-0.14%,11521.80
179,07-Sep-20,73.444,73.291,73.508,73.027,7.29K,0.21%,11604.55
180,08-Sep-20,73.74,73.63,73.974,73.385,8.43K,0.40%,11516.10
181,09-Sep-20,73.3,73.787,73.832,73.31,7.93K,-0.60%,11504.95
182,10-Sep-20,73.43,73.462,73.508,73.155,7.66K,0.18%,11250.55
183,11-Sep-20,73.43,73.535,73.628,73.405,5.87K,0.00%,11153.65
184,14-Sep-20,73.37,73.48,73.605,73.265,1.14K,-0.08%,11131.85
185,15-Sep-20,73.6,73.395,73.735,73.312,4.29K,0.31%,10805.55
186,16-Sep-20,73.53,73.595,73.779,73.465,4.40K,-0.10%,11050.25
187,17-Sep-20,73.6,73.715,73.784,73.581,3.84K,0.10%,11227.55
188,18-Sep-20,73.538,73.475,73.613,73.144,4.47K,-0.08%,11222.40
189,21-Sep-20,73.57,73.535,73.649,73.26,3.60K,0.04%,11247.55
190,22-Sep-20,73.51,73.575,73.645,73.385,3.36K,-0.08%,11416.95
191,23-Sep-20,73.57,73.503,73.635,73.43,1.88K,0.08%,11503.35
192,24-Sep-20,73.9,73.835,74.055,73.765,3.90K,0.45%,11662.40
193,25-Sep-20,73.67,73.735,73.788,73.566,2.96K,-0.31%,11738.85
194,28-Sep-20,73.75,73.685,73.862,73.526,5.66K,0.11%,11834.60
195,29-Sep-20,73.75,73.785,73.918,73.716,3.48K,0.00%,11914.20
196,30-Sep-20,73.56,73.817,73.865,73.522,3.86K,-0.26%,11930.95
197,01-Oct-20,73.193,73.595,73.61,73.021,3.98K,-0.50%,11934.50
198,02-Oct-20,73.29,73.239,73.45,73.239,0.17K,0.13%,11971.05
199,05-Oct-20,73.11,73.295,73.481,73.07,3.39K,-0.25%,11680.35
200,06-Oct-20,73.434,73.093,73.518,73.093,3.37K,0.44%,11762.45
201,07-Oct-20,73.33,73.55,73.613,73.254,4.81K,-0.14%,11873.05
202,08-Oct-20,73.29,73.33,73.381,73.185,5.08K,-0.05%,11896.80
203,09-Oct-20,73.01,73.15,73.265,72.969,4.22K,-0.38%,11937.65
204,12-Oct-20,73.363,73.015,73.428,73.015,3.96K,0.48%,11896.45
205,13-Oct-20,73.4,73.351,73.475,73.245,4.09K,0.05%,11930.35
206,14-Oct-20,73.24,73.395,73.466,73.193,5.37K,-0.22%,11767.75
207,15-Oct-20,73.42,73.295,73.52,73.204,5.15K,0.25%,11889.40
208,16-Oct-20,73.442,73.407,73.451,73.255,4.91K,0.03%,11729.60
209,19-Oct-20,73.35,73.444,73.444,73.289,3.20K,-0.13%,11670.80
210,20-Oct-20,73.44,73.342,73.558,73.295,4.58K,0.12%,11642.40
211,21-Oct-20,73.59,73.44,73.763,73.357,4.32K,0.20%,11669.15
212,22-Oct-20,73.66,73.68,73.808,73.519,4.65K,0.10%,11813.50
213,23-Oct-20,73.829,73.645,73.887,73.471,2.87K,0.23%,11908.50
214,26-Oct-20,73.96,73.842,74.115,73.692,4.16K,0.18%,12120.30
215,27-Oct-20,73.622,73.938,74.021,73.599,4.55K,-0.46%,12263.55
216,28-Oct-20,74.18,73.729,74.271,73.647,5.79K,0.76%,12461.05
217,29-Oct-20,74.37,74.23,74.533,73.938,6.74K,0.26%,12631.10
218,30-Oct-20,74.554,74.32,74.712,74.24,2.94K,0.25%,12749.15
219,02-Nov-20,74.5,74.567,74.567,74.265,4.32K,-0.07%,12690.80
220,03-Nov-20,74.61,74.422,74.635,74.247,4.57K,0.15%,12719.95
221,04-Nov-20,74.365,74.598,75.015,74.337,7.36K,-0.33%,12780.25
222,05-Nov-20,73.91,74.317,74.41,73.914,6.77K,-0.61%,12874.20
223,06-Nov-20,73.974,74.03,74.286,73.86,7.50K,0.09%,12938.25
224,09-Nov-20,74.03,73.976,74.175,73.637,6.50K,0.08%,12771.70
225,10-Nov-20,74.28,73.955,74.478,73.948,6.83K,0.34%,12859.05
226,11-Nov-20,74.439,74.17,74.522,74.17,6.19K,0.21%,12926.45
227,12-Nov-20,74.68,74.438,74.76,74.365,6.09K,0.32%,13055.15
228,13-Nov-20,74.561,74.662,74.725,74.464,5.53K,-0.16%,12858.40
229,16-Nov-20,74.37,74.59,74.59,74.38,1.92K,-0.26%,12987.00
230,17-Nov-20,74.47,74.345,74.635,74.345,5.77K,0.13%,12968.95
231,18-Nov-20,74.11,74.475,74.53,74.058,6.42K,-0.48%,13109.05
232,19-Nov-20,74.1,74.313,74.349,74.103,5.37K,-0.01%,13113.75
233,20-Nov-20,74.11,74.165,74.211,74.056,4.56K,0.01%,13133.90
234,23-Nov-20,74.25,74.12,74.277,74.005,4.88K,0.19%,13258.55
235,24-Nov-20,74.078,74.244,74.244,73.869,5.55K,-0.23%,13355.75
236,25-Nov-20,73.769,73.97,74.017,73.743,5.27K,-0.42%,13392.95
237,26-Nov-20,73.832,73.792,73.913,73.72,5.35K,0.09%,13529.10
238,27-Nov-20,73.933,73.837,74.116,73.742,5.44K,0.14%,13478.30
239,30-Nov-20,73.99,73.935,74.025,73.873,3.73K,0.08%,13513.85
